Title length,Description length,View Count,Like Count,Dislike Count,Comment Count,month,year
10,21,297,NA,NA,3,7,2019
11,22,81,7,1,8,2,2017
5,31,2209,6,1,1,9,2010
18,23,88,1,0,0,12,2014
14,26,505,43,0,13,8,2019
5,23,513933,4139,412,1834,11,2013
12,23,17126,102,10,15,10,2019
13,14,773,54,6,37,8,2019
12,24,3492017,9704,1076,100,8,2016
5,20,1479,4,0,0,11,2014
9,20,266945,609,9,99,9,2007
13,0,26836,137,13,21,12,2018
8,30,436266,4326,431,685,3,2018
9,28,2461,16,2,5,7,2017
10,22,373,2,0,0,6,2013
8,28,510,NA,NA,2,4,2019
8,25,581,40,3,32,10,2019
54,72,110276,1064,52,66,3,2019
9,27,22,2,0,0,4,2019
10,29,14,2,0,0,4,2019
8,29,16,2,0,0,4,2019
7,25,220,20,0,3,5,2018
13,25,76,NA,NA,0,12,2018
5,17,77082,246,9,9,8,2017
6,11,521,5,1,1,9,2017
12,32,16,2,0,0,4,2019
6,31,35,3,0,0,6,2019
9,27,70,4,0,0,6,2019
11,21,763,3,0,0,10,2017
10,25,1046,16,1,0,7,2018
12,31,10464697,20267,5891,11035,8,2007
13,22,648,35,1,7,5,2014
33,47,274638,1566,195,289,5,2018
8,28,1889,94,8,20,8,2015
9,28,148819,110,66,9,12,2012
7,18,60457,4065,68,1102,5,2019
9,30,482151,5546,280,5,6,2015
6,5,5518,3,0,5,1,2008
17,23,172524,105,76,15,9,2012
7,32,472103,4205,320,536,8,2019
7,24,43539,1093,17,106,7,2019
7,20,1708846,23907,774,1449,10,2019
12,26,362005,4178,128,391,8,2019
7,32,472103,4205,320,536,8,2019
6,10,75745,671,22,18,2,2016
10,5,2869494,6503,514,336,2,2009
3,1,4639118,52899,1037,1650,4,2014
4,0,573998,2174,831,563,1,2018
4,23,468218,1362,69,73,10,2015
7,24,43539,1093,17,106,7,2019
9,26,1265957,9451,685,2204,5,2014
10,34,175260,804,24,103,11,2011
4,0,22,0,0,0,12,2009
7,1,1336289,11123,300,514,9,2015
7,28,2734954,8777,650,838,7,2015
9,25,675,7,0,1,1,2015
7,20,1708846,23907,774,1449,10,2019
11,25,2043068,6168,149,386,10,2010
5,14,136730,340,43,13,7,2011
7,31,2215,22,4,0,7,2016
4,0,36,0,0,0,4,2018
12,27,2320142,16455,1689,2571,1,2020
10,25,427,3,0,0,2,2015
9,25,507100,1197,39,44,5,2010
9,25,502,3,0,0,4,2015
2,29,0,0,0,0,12,2015
9,25,260,1,1,0,3,2015
3,12,354,1,0,2,8,2013
12,26,362005,4178,128,391,8,2019
5,19,4672757,26662,749,2315,3,2013
8,0,4488,8,3,4,10,2009
6,26,52,1,0,0,8,2009
9,25,464,1,1,1,3,2015
5,3,2063,8,3,0,3,2014
19,21,780,1,0,0,1,2010
8,8,815,1,0,0,4,2011
9,27,43,4,1,1,12,2012
3,0,273,0,0,0,8,2011
8,25,471,2,0,0,1,2015
8,8,1637,4,0,0,4,2011
4,20,568,32,1,12,9,2018
8,4,1303,6,5,NA,5,2015
7,27,29,1,0,0,3,2018
4,20,0,0,0,0,2,2016
74,0,52,2,3,0,11,2018
10,0,123,3,0,NA,6,2018
8,8,328,0,0,0,4,2011
4,24,384,2,0,1,8,2015
4,27,179,9,0,1,11,2016
4,24,154,1,1,1,8,2015
